sku,name,brand,category,price,description,image_url,tags
SC-FD-BEEF-5.5,Stella's Super Beef Freeze-Dried Raw Dinner Patties 5.5oz,Stella & Chewy's,Food,15.19,"Raw grass-fed beef freeze-dried dinner patties. 95% beef organs and bone with organic fruits and vegetables. Grain-free pea-free lentil-free and potato-free. Enhanced with probiotics and antioxidants.",https://www.stellaandchewys.com/cdn/shop/products/beef-patties.jpg,"made_in_usa,organic,grain_free,freeze_dried,high_protein"
SC-FD-BEEF-14,Stella's Super Beef Freeze-Dried Raw Dinner Patties 14oz,Stella & Chewy's,Food,34.99,"Raw grass-fed beef freeze-dried dinner patties. 95% beef organs and bone with organic fruits and vegetables. Complete and balanced nutrition.",https://www.stellaandchewys.com/cdn/shop/products/beef-patties-14oz.jpg,"made_in_usa,organic,grain_free,freeze_dried,high_protein"
SC-FD-CHICKEN-5.5,Cage-Free Chicken Freeze-Dried Raw Dinner Patties 5.5oz,Stella & Chewy's,Food,15.19,"Raw cage-free chicken with organs and bone. 95% chicken nutrient-rich organs and bone. Pea-free lentil-free and potato-free with organic fruits and vegetables.",https://www.stellaandchewys.com/cdn/shop/products/chicken-patties.jpg,"made_in_usa,organic,grain_free,freeze_dried,cage_free"
SC-FD-CHICKEN-14,Cage-Free Chicken Freeze-Dried Raw Dinner Patties 14oz,Stella & Chewy's,Food,34.99,"Raw cage-free chicken freeze-dried dinner. 96% chicken and organs. All-natural freeze-dried raw with taurine added for heart health.",https://www.stellaandchewys.com/cdn/shop/products/chicken-patties-14oz.jpg,"made_in_usa,organic,grain_free,freeze_dried,cage_free"
SC-FD-SALMON-5.5,Wild-Caught Salmon Freeze-Dried Raw Dinner Patties 5.5oz,Stella & Chewy's,Food,15.19,"Raw wild-caught salmon and fish. 95% fish nutrient-rich organs and bone. Omega-3 rich for healthy skin and coat.",https://www.stellaandchewys.com/cdn/shop/products/salmon-patties.jpg,"made_in_usa,organic,grain_free,freeze_dried,omega_3"
SC-FD-SALMON-14,Wild-Caught Salmon Freeze-Dried Raw Dinner Patties 14oz,Stella & Chewy's,Food,34.99,"Wild-caught salmon freeze-dried raw dinner. Pea-free lentil-free and potato-free. Rich in omega fatty acids.",https://www.stellaandchewys.com/cdn/shop/products/salmon-patties-14oz.jpg,"made_in_usa,organic,grain_free,freeze_dried,omega_3"
SC-FD-TURKEY-10.4,Cage-Free Turkey Freeze-Dried Raw Dinner Patties 10.4oz,Stella & Chewy's,Food,10.44,"Raw cage-free turkey with organs and bone. 95% turkey nutrient-rich organs and bone. Enhanced with probiotics and antioxidants.",https://www.stellaandchewys.com/cdn/shop/products/turkey-patties.jpg,"made_in_usa,organic,grain_free,freeze_dried,cage_free"
SC-FD-LAMB-5.5,Lamb Freeze-Dried Raw Dinner Patties 5.5oz,Stella & Chewy's,Food,16.99,"Raw grass-fed lamb with organs and bone. Novel protein option perfect for dogs with sensitivities. 95% lamb organs and bone.",https://www.stellaandchewys.com/cdn/shop/products/lamb-patties.jpg,"made_in_usa,organic,grain_free,freeze_dried,grass_fed"
SC-FD-RABBIT-5.5,Rabbit Freeze-Dried Raw Dinner Patties 5.5oz,Stella & Chewy's,Food,17.99,"Farm-raised rabbit freeze-dried raw. 90% rabbit and bone. Novel protein ideal for elimination diets and food sensitivities.",https://www.stellaandchewys.com/cdn/shop/products/rabbit-patties.jpg,"made_in_usa,organic,grain_free,freeze_dried,novel_protein"
SC-FD-DUCK-5.5,Duck Duck Goose Freeze-Dried Raw Dinner Patties 5.5oz,Stella & Chewy's,Food,16.99,"Cage-free duck with goose. Novel protein blend. 95% duck goose organs and bone. Grain-free recipe.",https://www.stellaandchewys.com/cdn/shop/products/duck-patties.jpg,"made_in_usa,organic,grain_free,freeze_dried,cage_free"
SC-RC-CHICKEN-3.5,Wild Red Raw Coated Kibble Chicken Recipe 3.5lb,Stella & Chewy's,Food,25.64,"Grain-free kibble coated in freeze-dried raw. Packed with 6 animal proteins - chicken turkey quail guineafowl goose and duck. 92% protein from animal sources.",https://www.stellaandchewys.com/cdn/shop/products/wild-red-chicken.jpg,"made_in_usa,grain_free,raw_coated,high_protein"
SC-RC-CHICKEN-10,Wild Red Raw Coated Kibble Chicken Recipe 10lb,Stella & Chewy's,Food,64.99,"Premium grain-free kibble with freeze-dried raw coating. Six poultry proteins for complete nutrition. Made in USA.",https://www.stellaandchewys.com/cdn/shop/products/wild-red-chicken-10lb.jpg,"made_in_usa,grain_free,raw_coated,high_protein"
SC-RC-CHICKEN-22,Wild Red Raw Coated Kibble Chicken Recipe 22lb,Stella & Chewy's,Food,119.99,"Large bag grain-free kibble with raw coating. Whole prey ingredients including muscle meat organs and cartilage.",https://www.stellaandchewys.com/cdn/shop/products/wild-red-chicken-22lb.jpg,"made_in_usa,grain_free,raw_coated,high_protein"
SC-RC-REDMEAT-3.5,Wild Red Raw Coated Kibble Red Meat Recipe 3.5lb,Stella & Chewy's,Food,25.64,"Poultry-free recipe with 6 red meat proteins - beef pork lamb bison venison and goat. 89% protein from animal sources.",https://www.stellaandchewys.com/cdn/shop/products/wild-red-redmeat.jpg,"made_in_usa,grain_free,raw_coated,poultry_free"
SC-RC-REDMEAT-10,Wild Red Raw Coated Kibble Red Meat Recipe 10lb,Stella & Chewy's,Food,64.99,"Premium red meat kibble coated in freeze-dried raw. Six novel proteins for dogs who thrive on meat-first diet.",https://www.stellaandchewys.com/cdn/shop/products/wild-red-redmeat-10lb.jpg,"made_in_usa,grain_free,raw_coated,poultry_free"
SC-RC-REDMEAT-22,Wild Red Raw Coated Kibble Red Meat Recipe 22lb,Stella & Chewy's,Food,119.99,"Large bag poultry-free kibble. Grain-free with no white potatoes or legumes. Freeze-dried raw coating.",https://www.stellaandchewys.com/cdn/shop/products/wild-red-redmeat-22lb.jpg,"made_in_usa,grain_free,raw_coated,poultry_free"
SC-RC-FISH-3.5,Raw Coated Kibble Wild-Caught Whitefish Recipe 3.5lb,Stella & Chewy's,Food,27.99,"Grain-free fish-based kibble. Wild-caught whitefish and salmon. Omega-3 rich for healthy skin and coat.",https://www.stellaandchewys.com/cdn/shop/products/fish-kibble.jpg,"made_in_usa,grain_free,raw_coated,omega_3"
SC-RC-FISH-22,Raw Coated Kibble Wild-Caught Whitefish Recipe 22lb,Stella & Chewy's,Food,129.99,"Large bag wild-caught fish kibble. High in omega fatty acids. Raw coated for irresistible taste.",https://www.stellaandchewys.com/cdn/shop/products/fish-kibble-22lb.jpg,"made_in_usa,grain_free,raw_coated,omega_3"
SC-SB-CHICKEN-3.25,SuperBlends Cage-Free Chicken Recipe 3.25lb,Stella & Chewy's,Food,20.89,"Superfood-powered kibble with wholesome grains. Coated and blended with freeze-dried raw. Bone broth and probiotics.",https://www.stellaandchewys.com/cdn/shop/products/superblends-chicken.jpg,"made_in_usa,wholesome_grains,raw_coated,cage_free"
SC-SB-CHICKEN-10,SuperBlends Cage-Free Chicken Recipe 10lb,Stella & Chewy's,Food,54.99,"Whole grain kibble with superfoods. Gently oven-baked in small batches. Made with bone broth.",https://www.stellaandchewys.com/cdn/shop/products/superblends-chicken-10lb.jpg,"made_in_usa,wholesome_grains,raw_coated,cage_free"
SC-MM-BEEF-8,Freeze-Dried Meal Mixer Grass-Fed Beef 8oz,Stella & Chewy's,Treats,22.99,"Perfect meal topper for picky eaters. 95% beef organs and bone. Easy pour spout. Sprinkle with love.",https://www.stellaandchewys.com/cdn/shop/products/meal-mixer-beef.jpg,"made_in_usa,grain_free,freeze_dried,grass_fed"
SC-MM-BEEF-16,Freeze-Dried Meal Mixer Grass-Fed Beef 16oz,Stella & Chewy's,Treats,39.99,"Large meal mixer topper. Grass-fed beef formula. Adds raw nutrition to any meal. Irresistible taste dogs love.",https://www.stellaandchewys.com/cdn/shop/products/meal-mixer-beef-16oz.jpg,"made_in_usa,grain_free,freeze_dried,grass_fed"
SC-MM-CHICKEN-3.5,Freeze-Dried Meal Mixer Cage-Free Chicken 3.5oz,Stella & Chewy's,Treats,12.99,"Small meal mixer perfect for trying. Cage-free chicken. 96% chicken and organs. Picky eater approved.",https://www.stellaandchewys.com/cdn/shop/products/meal-mixer-chicken.jpg,"made_in_usa,grain_free,freeze_dried,cage_free"
SC-MM-CHICKEN-18,Freeze-Dried Meal Mixer Cage-Free Chicken 18oz,Stella & Chewy's,Treats,41.99,"Large cage-free chicken meal mixer. Easy pour spout. Adds raw nutrition and flavor to kibble.",https://www.stellaandchewys.com/cdn/shop/products/meal-mixer-chicken-18oz.jpg,"made_in_usa,grain_free,freeze_dried,cage_free"
SC-MM-SALMON-3.5,Freeze-Dried Meal Mixer Wild-Caught Salmon 3.5oz,Stella & Chewy's,Treats,13.99,"Salmon meal mixer topper. Omega-3 rich. Perfect for skin and coat health. Easy to sprinkle.",https://www.stellaandchewys.com/cdn/shop/products/meal-mixer-salmon.jpg,"made_in_usa,grain_free,freeze_dried,omega_3"
SC-MM-TURKEY-18,Freeze-Dried Meal Mixer Cage-Free Turkey 18oz,Stella & Chewy's,Treats,39.99,"Turkey meal mixer. 95% turkey organs and bone. Taurine added. Enhanced with probiotics.",https://www.stellaandchewys.com/cdn/shop/products/meal-mixer-turkey.jpg,"made_in_usa,grain_free,freeze_dried,cage_free"
SC-TR-CHICKEN-2.75,Carnivore Crunch Freeze-Dried Raw Treats Chicken 2.75oz,Stella & Chewy's,Treats,11.99,"Raw cage-free chicken treats. 96% chicken and organs. All-natural freeze-dried. Perfect for training.",https://www.stellaandchewys.com/cdn/shop/products/treats-chicken.jpg,"made_in_usa,grain_free,freeze_dried,cage_free"
SC-TR-BEEF-2.75,Carnivore Crunch Freeze-Dried Raw Treats Beef 2.75oz,Stella & Chewy's,Treats,11.99,"Grass-fed beef freeze-dried treats. Single ingredient. Great for dogs with allergies. Training sized.",https://www.stellaandchewys.com/cdn/shop/products/treats-beef.jpg,"made_in_usa,grain_free,freeze_dried,grass_fed"
SC-TR-TURKEY-2.75,Carnivore Crunch Freeze-Dried Raw Treats Turkey 2.75oz,Stella & Chewy's,Treats,11.99,"Cage-free turkey treats. Freeze-dried raw. Unique shape and texture. Irresistible taste.",https://www.stellaandchewys.com/cdn/shop/products/treats-turkey.jpg,"made_in_usa,grain_free,freeze_dried,cage_free"
SC-TR-SALMON-2.75,Carnivore Crunch Freeze-Dried Raw Treats Salmon 2.75oz,Stella & Chewy's,Treats,12.99,"Wild-caught salmon treats. Omega-3 rich. Perfect rewards during training. Freeze-dried raw.",https://www.stellaandchewys.com/cdn/shop/products/treats-salmon.jpg,"made_in_usa,grain_free,freeze_dried,omega_3"
SC-TR-DUCK-2.75,Carnivore Crunch Freeze-Dried Raw Treats Duck 2.75oz,Stella & Chewy's,Treats,12.99,"Novel protein duck treats. Single ingredient. Great for food sensitivities. Training perfect.",https://www.stellaandchewys.com/cdn/shop/products/treats-duck.jpg,"made_in_usa,grain_free,freeze_dried,novel_protein"
SC-DT-XS-12CT,Stella's Essentials Grass-Fed Beef Dental Chews X-Small 12ct,Stella & Chewy's,Treats,8.99,"Extra small dental chews for dogs 5-15 lbs. Clinically proven to reduce plaque and tartar. Peppermint and parsley.",https://www.stellaandchewys.com/cdn/shop/products/dental-xs.jpg,"made_in_usa,dental_health,grass_fed"
SC-DT-SM-12CT,Stella's Essentials Grass-Fed Beef Dental Chews Small 12ct,Stella & Chewy's,Treats,9.99,"Small dental chews for dogs 16-25 lbs. Freeze-dried beef coating. Freshens breath naturally.",https://www.stellaandchewys.com/cdn/shop/products/dental-sm.jpg,"made_in_usa,dental_health,grass_fed"
SC-DT-MD-12CT,Stella's Essentials Grass-Fed Beef Dental Chews Medium 12ct,Stella & Chewy's,Treats,11.99,"Medium dental chews for dogs 26-50 lbs. Nubs and ridges scrape teeth. Made with freeze-dried chicken.",https://www.stellaandchewys.com/cdn/shop/products/dental-md.jpg,"made_in_usa,dental_health,cage_free"
SC-DT-LG-12CT,Stella's Essentials Grass-Fed Beef Dental Chews Large 12ct,Stella & Chewy's,Treats,13.99,"Large dental chews for dogs 51+ lbs. 4-in-1 dental treat. Clinically proven plaque and tartar control.",https://www.stellaandchewys.com/cdn/shop/products/dental-lg.jpg,"made_in_usa,dental_health,cage_free"
SC-TR-LIVER-3OZ,Single Ingredient Beef Liver Treats 3oz,Stella & Chewy's,Treats,10.99,"100% beef liver. 1 simple ingredient. Pure and natural. Great for food allergies or sensitivities.",https://www.stellaandchewys.com/cdn/shop/products/liver-treats.jpg,"made_in_usa,grain_free,single_ingredient"
CI-LAUNCHER-26M,Classic Ball Launcher 26M Medium,Chuckit!,Toys,10.99,"Iconic 26-inch ball launcher. Throw farther and faster. No-bend no-slobber pickup. Includes one medium ball.",https://www.petmate.com/cdn/shop/products/launcher-26m.jpg,"made_in_usa,fetch_toy,durable"
CI-LAUNCHER-25S,Classic Ball Launcher 25S Small,Chuckit!,Toys,9.99,"25-inch launcher for small dogs. Ergonomic grip. Makes fetch easier. Includes one small ball.",https://www.petmate.com/cdn/shop/products/launcher-25s.jpg,"made_in_usa,fetch_toy,small_dogs"
CI-LAUNCHER-18M,Sport Launcher 18M Medium,Chuckit!,Toys,12.99,"Compact 18-inch sport launcher. Travel friendly. High-performance throwing. Includes medium ball.",https://www.petmate.com/cdn/shop/products/sport-launcher.jpg,"made_in_usa,fetch_toy,travel_friendly"
CI-BALL-ULTRA-M2,Ultra Ball Medium 2-Pack,Chuckit!,Toys,8.99,"High-bounce rubber fetch balls. Bright orange and blue. Extra durable. Medium 2.5 inch for dogs 20-60 lbs.",https://www.petmate.com/cdn/shop/products/ultra-ball-m2.jpg,"made_in_usa,fetch_toy,durable"
CI-BALL-ULTRA-L2,Ultra Ball Large 2-Pack,Chuckit!,Toys,10.99,"Super bouncy large balls. 3 inch for dogs 60-100 lbs. Land and water compatible. Extra thick rubber.",https://www.petmate.com/cdn/shop/products/ultra-ball-l2.jpg,"made_in_usa,fetch_toy,durable"
CI-BALL-ULTRA-S2,Ultra Ball Small 2-Pack,Chuckit!,Toys,6.99,"Small ultra balls for dogs up to 20 lbs. High bounce. Durable rubber. Bright colors. Pack of 2.",https://www.petmate.com/cdn/shop/products/ultra-ball-s2.jpg,"made_in_usa,fetch_toy,small_dogs"
CI-BALL-ULTRA-XL,Ultra Ball X-Large Single,Chuckit!,Toys,7.99,"Extra large 4 inch ball. For giant breeds. Super durable rubber. High visibility orange.",https://www.petmate.com/cdn/shop/products/ultra-ball-xl.jpg,"made_in_usa,fetch_toy,large_dogs"
CI-BALL-GLOW-M,Max Glow Ball Medium,Chuckit!,Toys,6.99,"Glow in the dark fetch ball. Medium 2.5 inch. Recharges quickly in light. Extends playtime after dark.",https://www.petmate.com/cdn/shop/products/glow-ball.jpg,"made_in_usa,fetch_toy,glow_in_dark"
CI-BALL-GLOW-L,Max Glow Ball Large,Chuckit!,Toys,7.99,"Large glow ball for night fetch. High visibility. Photoluminescent material. 3 inch diameter.",https://www.petmate.com/cdn/shop/products/glow-ball-l.jpg,"made_in_usa,fetch_toy,glow_in_dark"
CI-BALL-WHISTLE-M,Whistler Ball Medium,Chuckit!,Toys,5.99,"Ball whistles in flight. Audible fetch game. Medium 2.5 inch. Keeps dogs engaged and excited.",https://www.petmate.com/cdn/shop/products/whistle-ball.jpg,"made_in_usa,fetch_toy,interactive"
CI-BALL-BREATHE-M,Breathe Right Fetch Ball Medium,Chuckit!,Toys,7.99,"Allows dogs to breathe easily while fetching. Hollow center design. Durable rubber. Medium 2.5 inch.",https://www.petmate.com/cdn/shop/products/breathe-ball.jpg,"made_in_usa,fetch_toy,innovative"
CI-BALL-REBOUNCE-M2,Rebounce Ball Medium 2-Pack,Chuckit!,Toys,8.99,"Eco-friendly recycled rubber balls. High bounce. Medium 2.5 inch. Sustainable and durable.",https://www.petmate.com/cdn/shop/products/rebounce-ball.jpg,"eco_friendly,fetch_toy,sustainable"
CI-BALL-MEDLEY-M3,Fetch Medley Ball Set Medium 3-Pack,Chuckit!,Toys,11.99,"Variety pack with 3 different balls. Ultra Erratic and Whistler. Medium 2.5 inch. Value pack.",https://www.petmate.com/cdn/shop/products/medley-balls.jpg,"made_in_usa,fetch_toy,variety_pack"
CI-BALL-FLOAT-L2,Floating Tennis Balls Large 2-Pack,Chuckit!,Toys,9.99,"Buoyant tennis balls. Perfect for water play. Large 3 inch. High visibility orange. Pack of 2.",https://www.petmate.com/cdn/shop/products/float-tennis.jpg,"made_in_usa,water_toy,fetch_toy"
CI-BALL-BUCKET-8M,Ultra Ball Bucket Set with 8 Balls Medium,Chuckit!,Toys,44.99,"Bucket with 8 medium ultra balls. Carry and clean bucket. 2.5 inch balls. Value pack for serious fetch.",https://www.petmate.com/cdn/shop/products/ball-bucket.jpg,"made_in_usa,fetch_toy,value_pack"
CI-DISC-PARA-SM,Paraflight Frisbee Small 6.5 inch,Chuckit!,Toys,9.99,"Soft flying disc for pool play. Small 6.5 inch. Lightweight nylon. Floats. Easy to see.",https://www.petmate.com/cdn/shop/products/paraflight-sm.jpg,"made_in_usa,water_toy,soft_material"
CI-DISC-PARA-LG,Paraflight Frisbee Large 10.25 inch,Chuckit!,Toys,12.99,"Large paraflight disc. 10.25 inch for big dogs. Multilayer nylon. Gentle on gums. Flies far.",https://www.petmate.com/cdn/shop/products/paraflight-lg.jpg,"made_in_usa,water_toy,soft_material"
CI-DISC-ZIPFLIGHT,Zipflight Flying Disc Medium,Chuckit!,Toys,10.99,"Aerodynamic disc flies far. Medium 8.5 inch. Bright LED lights. Glow in the dark rim.",https://www.petmate.com/cdn/shop/products/zipflight.jpg,"made_in_usa,fetch_toy,glow_in_dark"
CI-TOY-FLYSQUIRREL-LG,Flying Squirrel Large 11 inch,Chuckit!,Toys,14.99,"Canvas toss and fetch toy. Large 11 inch. Raised sides for easy pickup. Floats in water.",https://www.petmate.com/cdn/shop/products/flying-squirrel.jpg,"made_in_usa,water_toy,soft_material"
CI-TOY-FLYSQUIRREL-SM,Flying Squirrel Small 9 inch,Chuckit!,Toys,11.99,"Small flying squirrel. 9 inch for small to medium dogs. Durable canvas. Glow in the dark.",https://www.petmate.com/cdn/shop/products/flying-squirrel-sm.jpg,"made_in_usa,fetch_toy,glow_in_dark"
CI-TOY-RUFFLE-LG,Ruffle Runner Dog Toy Large,Chuckit!,Toys,8.99,"Soft fetch toy with crinkle sound. Large size. Machine washable. Indoor and outdoor play.",https://www.petmate.com/cdn/shop/products/ruffle-runner.jpg,"made_in_usa,soft_material,washable"
CI-TOY-AMPHIBIOUS,Amphibious Bumper Large,Chuckit!,Toys,13.99,"Floating bumper toy. Easy to spot in water. Durable. Large size. Perfect for lake or beach.",https://www.petmate.com/cdn/shop/products/amphibious.jpg,"made_in_usa,water_toy,durable"
CI-BALL-KICK-SM,Kick Fetch Ball Small 5.5 inch,Chuckit!,Toys,11.99,"Kickable canvas soccer ball. Small 5.5 inch. For small dogs and puppies. Easy to clean.",https://www.petmate.com/cdn/shop/products/kick-ball-sm.jpg,"made_in_usa,fetch_toy,interactive"
CI-BALL-KICK-LG,Kick Fetch Ball Large 7.5 inch,Chuckit!,Toys,15.99,"Large kick fetch ball. 7.5 inch for large dogs. Durable canvas. Floats in water. Easy to kick.",https://www.petmate.com/cdn/shop/products/kick-ball-lg.jpg,"made_in_usa,water_toy,interactive"
CI-TOY-INDOOR-SM,Indoor Ball Small,Chuckit!,Toys,4.99,"Soft indoor fetch ball. Small 2 inch. Won't damage furniture. Lightweight. Quiet play.",https://www.petmate.com/cdn/shop/products/indoor-ball.jpg,"made_in_usa,indoor_toy,soft_material"
CI-TOY-ROLLER-M,Indoor Roller Medium,Chuckit!,Toys,6.99,"Indoor roller toy. Medium size. Soft chenille fabric. BounceF'lex core. Quiet play.",https://www.petmate.com/cdn/shop/products/indoor-roller.jpg,"made_in_usa,indoor_toy,soft_material"
CI-TOY-TUMBLE-M,Tumble Bumper Medium,Chuckit!,Toys,8.99,"Erratic bounce and tumble. Medium toy. Durable rubber. Unpredictable motion. Exciting chase.",https://www.petmate.com/cdn/shop/products/tumble-bumper.jpg,"made_in_usa,fetch_toy,interactive"
CI-TOY-ULTRA-DUO-SM,Ultra Duo Tug Ball Small 2 inch,Chuckit!,Toys,7.99,"Tug and fetch combo. Small 2 inch for puppies. Rope handle. Ultra ball attached. Indoor outdoor.",https://www.petmate.com/cdn/shop/products/ultra-duo-sm.jpg,"made_in_usa,tug_toy,fetch_toy"
CI-TOY-ULTRA-DUO-LG,Ultra Duo Tug Ball Large 3 inch,Chuckit!,Toys,10.99,"Large tug fetch toy. 3 inch ball. Durable rope. Great for interactive play. Strengthens bond.",https://www.petmate.com/cdn/shop/products/ultra-duo-lg.jpg,"made_in_usa,tug_toy,fetch_toy"
CI-TOY-ULTRA-SQUEAKER,Ultra Squeaker Ball Medium,Chuckit!,Toys,5.99,"Squeaker ball with ultra durability. Medium 2.5 inch. Extra thick rubber. High bounce.",https://www.petmate.com/cdn/shop/products/squeaker-ball.jpg,"made_in_usa,fetch_toy,squeaker"
CI-TOY-STRATO-M,Strato Ball Medium,Chuckit!,Toys,6.99,"High-bounce strato ball. Medium 2.5 inch. Erratic bounce pattern. Keeps dogs engaged.",https://www.petmate.com/cdn/shop/products/strato-ball.jpg,"made_in_usa,fetch_toy,high_bounce"
CI-TOY-ERRATIC-M,Erratic Ball Medium,Chuckit!,Toys,7.99,"Unpredictable bounce. Medium 2.5 inch. Multi-faceted design. Exciting chase game.",https://www.petmate.com/cdn/shop/products/erratic-ball.jpg,"made_in_usa,fetch_toy,interactive"
CI-TOY-MOUNTAIN-M,Mountain Rope Tug Medium,Chuckit!,Toys,8.99,"Durable rope tug. Medium size. Textured grip. Great for tug of war. Cleans teeth.",https://www.petmate.com/cdn/shop/products/mountain-rope.jpg,"made_in_usa,tug_toy,dental_health"
CI-TOY-RING-M,Ultra Ring Medium,Chuckit!,Toys,9.99,"Floating ring toy. Medium size. Durable rubber. Easy to throw and retrieve. Water play.",https://www.petmate.com/cdn/shop/products/ultra-ring.jpg,"made_in_usa,water_toy,fetch_toy"
CI-TOY-HYDRO-M,Hydro Squeeze Ball Medium,Chuckit!,Toys,8.99,"Squishy water-filled ball. Medium 2.5 inch. Fun squeezable texture. Freezable for hot days.",https://www.petmate.com/cdn/shop/products/hydro-ball.jpg,"made_in_usa,fetch_toy,cooling"
WF-PUPSICLE-SM,The Pupsicle Small,Woof,Toys,19.99,"Revolutionary dog toy. Small for dogs 0-25 lbs. Long-lasting enrichment. Easy to clean and fill. Food-grade materials.",https://mywoof.com/cdn/shop/products/pupsicle-sm.jpg,"made_in_usa,enrichment_toy,innovative"
WF-PUPSICLE-MD,The Pupsicle Medium,Woof,Toys,22.99,"The original pupsicle. Medium for dogs 25-50 lbs. Leak-proof design. Dishwasher safe. Keeps pups busy.",https://mywoof.com/cdn/shop/products/pupsicle-md.jpg,"made_in_usa,enrichment_toy,innovative"
WF-PUPSICLE-LG,The Pupsicle Large,Woof,Toys,24.99,"Large pupsicle for dogs 50-100 lbs. Durable plant-based materials. Easy to fill. Long-lasting quiet.",https://mywoof.com/cdn/shop/products/pupsicle-lg.jpg,"made_in_usa,enrichment_toy,innovative"
WF-PUPSICLE-XL,The Pupsicle X-Large,Woof,Toys,27.99,"Extra large for dogs 100+ lbs. Maximum enrichment. Freezable refills. BPA-free food-grade materials.",https://mywoof.com/cdn/shop/products/pupsicle-xl.jpg,"made_in_usa,enrichment_toy,innovative"
WF-POPS-PEANUT-8,Pupsicle Pops Peanut Butter 8-Pack,Woof,Treats,24.99,"Pre-made peanut butter pupsicle refills. 8 pack. Just freeze and serve. Made with real peanut butter.",https://mywoof.com/cdn/shop/products/pops-peanut.jpg,"made_in_usa,natural_ingredients,refills"
WF-POPS-BEEF-8,Pupsicle Pops Real Beef 8-Pack,Woof,Treats,27.99,"Beef flavor pupsicle refills. 8 pack. Made with real beef. Long-lasting natural treats.",https://mywoof.com/cdn/shop/products/pops-beef.jpg,"made_in_usa,natural_ingredients,refills"
WF-POPS-CHICKEN-8,Pupsicle Pops Real Chicken 8-Pack,Woof,Treats,27.99,"Chicken pupsicle refills. 8 pack. Real chicken protein. Extra long-lasting. Natural treats.",https://mywoof.com/cdn/shop/products/pops-chicken.jpg,"made_in_usa,natural_ingredients,refills"
WF-POPS-MOBILITY-4,Pupsicle Pops Mobility Support 4-Pack,Woof,Treats,16.99,"Joint support pupsicle refills. 4 pack. With glucosamine. Long-lasting mobility treats.",https://mywoof.com/cdn/shop/products/pops-mobility.jpg,"made_in_usa,wellness_support,refills"
WF-POPS-ALLERGY-4,Pupsicle Pops Allergy Relief 4-Pack,Woof,Treats,16.99,"Allergy relief pupsicle pops. 4 pack. Natural ingredients. Supports seasonal allergies.",https://mywoof.com/cdn/shop/products/pops-allergy.jpg,"made_in_usa,wellness_support,refills"
WF-BULLY-HOLDER,Woof Bully Stick Holder,Woof,Toys,14.99,"Durable chew holder. Safer play with bully sticks. Works with chews of all sizes. Easy to use.",https://mywoof.com/cdn/shop/products/bully-holder.jpg,"made_in_usa,safety_product,innovative"
WF-BITE-BRUSH,Bite N' Brush Dental Toy,Woof,Toys,16.99,"Revolutionary dental toy. Turns chewing into brushing. Infused with real antler. Dental health.",https://mywoof.com/cdn/shop/products/bite-brush.jpg,"made_in_usa,dental_health,innovative"
WF-CHEWBONE,Woof Plant-Based Chewbone,Woof,Toys,12.99,"Ultra-durable chewbone. Plant-based materials. Long-lasting chew. Safer than traditional bones.",https://mywoof.com/cdn/shop/products/chewbone.jpg,"made_in_usa,eco_friendly,durable"
WF-NUGGETS-BEEF,Love Nuggets Beef Training Treats 6oz,Woof,Treats,11.99,"Tiny training treats. Beef flavor. USA-made. Perfect size for training. Strong smell keeps focus.",https://mywoof.com/cdn/shop/products/nuggets-beef.jpg,"made_in_usa,training_treats,small_batch"
WF-NUGGETS-CHICKEN,Love Nuggets Chicken Training Treats 6oz,Woof,Treats,11.99,"Chicken training morsels. Small bite-sized. Made in USA. Packed with protein. Training perfect.",https://mywoof.com/cdn/shop/products/nuggets-chicken.jpg,"made_in_usa,training_treats,small_batch"
WF-BROTH-MIX,Doggy Broth Mixer Powder,Woof,Treats,14.99,"Easy-to-use broth mixer. Just add water. Natural ingredients. Adds flavor to meals. Hydration boost.",https://mywoof.com/cdn/shop/products/broth-mix.jpg,"made_in_usa,meal_topper,hydration"
WF-CALM-SPREAD,Calming Spread Mix,Woof,Treats,12.99,"Stress relief spread. Just add water and spread. Natural calming ingredients. For anxious pups.",https://mywoof.com/cdn/shop/products/calm-spread.jpg,"made_in_usa,wellness_support,calming"
WF-DENTAL-POPS-4,Dental Pupsicle Pops 4-Pack,Woof,Treats,18.99,"Dental health pupsicle refills. 4 pack. Cleaner teeth with every bite. Long-lasting distraction.",https://mywoof.com/cdn/shop/products/dental-pops.jpg,"made_in_usa,dental_health,refills"
WF-STARTER-KIT,Pupsicle Starter Kit,Woof,Toys,49.99,"Complete pupsicle starter pack. Includes toy and 8 pops. Everything needed for enrichment. Best value.",https://mywoof.com/cdn/shop/products/starter-kit.jpg,"made_in_usa,value_pack,enrichment_toy"
WF-VARIETY-POPS-8,Variety Pupsicle Pops 8-Pack,Woof,Treats,26.99,"Variety pack of flavors. 8 pupsicle pops. Mix of beef chicken and peanut butter. Try all flavors.",https://mywoof.com/cdn/shop/products/variety-pops.jpg,"made_in_usa,variety_pack,refills"
WF-DIY-KIT,DIY Pupsicle Refill Kit,Woof,Treats,19.99,"Make your own pupsicle pops. Includes everything needed. Easy recipes. Cost-effective option.",https://mywoof.com/cdn/shop/products/diy-kit.jpg,"made_in_usa,diy,value_pack"